sample_date,facility,target,n.bio,n.bio.non.miss,n.bio.miss,n.total,n.total.miss,bio.ct.mean,bio.ct.sd,tech.ct.dists
2020-12-28,B,N1,3,3,0,9,2,35.224444919444444,0.6420484608146386,"A = 34.48 (sd=1.13, n=2); B = 35.56 (sd=0.37, n=2); C = 35.63 (sd=0.08, n=3)"
2020-12-28,B,N2,3,3,0,9,5,35.01916949,0.6886165905037335,"A = 34.75 (sd=NA, n=1); B = 35.8 (sd=1.77, n=2); C = 34.5 (sd=NA, n=1)"
2020-12-28,C,N1,3,3,0,9,3,35.30312750111111,0.7339264805546554,"A = 34.49 (sd=NA, n=1); B = 35.92 (sd=1.61, n=2); C = 35.5 (sd=0.54, n=3)"
2020-12-28,C,N2,3,2,1,9,6,35.42796421,0.8986342047713458,"A = 36.06 (sd=0.68, n=2); B = NA (sd=NA, n=0); C = 34.79 (sd=NA, n=1)"
2021-01-04,A,N1,3,1,2,9,7,36.141563415,NA,"A = 36.14 (sd=1.1, n=2); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-01-04,A,N2,3,2,1,9,5,35.4209966675,0.48680621747451175,"A = 35.08 (sd=0.91, n=2); B = 35.77 (sd=1.86, n=2); C = NA (sd=NA, n=0)"
2021-01-04,B,N1,3,2,1,9,6,36.6145362875,0.08099208496332146,"A = 36.56 (sd=0.7, n=2); B = 36.67 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2021-01-04,B,N2,3,3,0,9,6,36.20473989,1.1694432117868918,"A = 36.94 (sd=NA, n=1); B = 34.86 (sd=NA, n=1); C = 36.82 (sd=NA, n=1)"
2021-01-04,C,N1,3,2,1,9,7,36.500041960000004,0.7205560087332561,"A = 35.99 (sd=NA, n=1); B = NA (sd=NA, n=0); C = 37.01 (sd=NA, n=1)"
2021-01-04,C,N2,3,2,1,9,7,35.86340904,0.08990158444432922,"A = NA (sd=NA, n=0); B = 35.8 (sd=NA, n=1); C = 35.93 (sd=NA, n=1)"
2021-01-11,A,N1,3,2,1,9,4,33.877215703333334,0.30542191421820347,"A = NA (sd=NA, n=0); B = 33.66 (sd=0.55, n=3); C = 34.09 (sd=0.16, n=2)"
2021-01-11,A,N2,3,2,1,9,5,35.47998237833333,0.09592757907489181,"A = 35.55 (sd=NA, n=1); B = NA (sd=NA, n=0); C = 35.41 (sd=0.71, n=3)"
2021-01-11,B,N1,3,3,0,9,2,34.10997708611111,0.2977605085949903,"A = 34.22 (sd=0.78, n=3); B = 34.34 (sd=0.55, n=2); C = 33.77 (sd=0.82, n=2)"
2021-01-11,B,N2,3,3,0,9,4,35.52367973333333,0.25657779686169624,"A = 35.27 (sd=1, n=2); B = 35.51 (sd=NA, n=1); C = 35.78 (sd=0.06, n=2)"
2021-01-11,C,N1,3,3,0,9,3,34.85887252166667,1.1717399327422804,"A = 36.21 (sd=2.21, n=3); B = 34.19 (sd=NA, n=1); C = 34.18 (sd=0.35, n=2)"
2021-01-11,C,N2,3,3,0,9,6,36.18882115666667,0.771083571334738,"A = 35.73 (sd=NA, n=1); B = 35.76 (sd=NA, n=1); C = 37.08 (sd=NA, n=1)"
2021-01-13,A,N1,3,2,1,9,5,35.960030875,0.04534686394350827,"A = 35.93 (sd=0.39, n=3); B = 35.99 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2021-01-13,A,N2,3,2,1,9,6,34.7232370375,0.30952780163234994,"A = 34.5 (sd=NA, n=1); B = 34.94 (sd=1.29, n=2); C = NA (sd=NA, n=0)"
2021-01-13,B,N1,3,3,0,9,3,35.983132045000005,0.9085540173395733,"A = 36.5 (sd=0.8, n=2); B = 36.51 (sd=0.64, n=2); C = 34.93 (sd=0.03, n=2)"
2021-01-13,B,N2,3,3,0,9,2,35.98309728833333,0.47710294409798343,"A = 35.44 (sd=1.24, n=3); B = 36.35 (sd=1, n=2); C = 36.15 (sd=0.64, n=2)"
2021-01-13,C,N1,3,1,2,9,8,36.37888336,NA,"A = 36.38 (sd=NA, n=1); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-01-13,C,N2,3,2,1,9,7,36.560689925,0.08849894621996554,"A = NA (sd=NA, n=0); B = 36.5 (sd=NA, n=1); C = 36.62 (sd=NA, n=1)"
2021-01-19,A,N1,3,3,0,9,4,34.695095064444445,2.005638368026034,"A = 36.57 (sd=NA, n=1); B = 32.58 (sd=0.54, n=3); C = 34.93 (sd=NA, n=1)"
2021-01-19,A,N2,3,3,0,18,10,35.61472714633333,1.433356308926281,"A = 36.82 (sd=NA, n=1); B = 34.03 (sd=0.8, n=5); C = 35.99 (sd=0.15, n=2)"
2021-01-19,B,N1,3,3,0,9,2,35.83873240111111,0.356875272231123,"A = 35.93 (sd=0.72, n=2); B = 36.14 (sd=0.83, n=3); C = 35.44 (sd=0.06, n=2)"
2021-01-19,B,N2,3,3,0,18,13,35.51939222777778,0.6987590808653723,"A = 35.7 (sd=NA, n=1); B = 36.11 (sd=0.12, n=3); C = 34.75 (sd=NA, n=1)"
2021-01-19,C,N1,3,2,1,9,7,35.456884384999995,0.03017578895820621,"A = 35.48 (sd=NA, n=1); B = NA (sd=NA, n=0); C = 35.44 (sd=NA, n=1)"
2021-01-19,C,N2,3,3,0,18,8,35.687555270555556,1.2271652589429782,"A = 35.36 (sd=0.93, n=5); B = 37.04 (sd=1.31, n=3); C = 34.66 (sd=0.27, n=2)"
2021-01-20,A,N1,3,2,1,9,5,35.2913160325,0.35005351254678396,"A = NA (sd=NA, n=0); B = 35.04 (sd=0.79, n=2); C = 35.54 (sd=0.13, n=2)"
2021-01-20,B,N1,3,2,1,9,6,36.116487505,0.6191527173100244,"A = NA (sd=NA, n=0); B = 36.55 (sd=NA, n=1); C = 35.68 (sd=1.12, n=2)"
2021-01-20,C,N1,3,3,0,9,1,35.45295524611111,0.7207072427282278,"A = 34.97 (sd=0.59, n=3); B = 36.28 (sd=0.17, n=2); C = 35.11 (sd=0.46, n=3)"
2021-01-25,A,N1,3,1,2,9,7,35.785806655,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = 35.79 (sd=0.01, n=2)"
2021-01-25,A,N2,3,2,1,9,6,35.384655955,0.06836690905280106,"A = NA (sd=NA, n=0); B = 35.43 (sd=NA, n=1); C = 35.34 (sd=1.8, n=2)"
2021-01-25,B,N1,3,3,0,9,4,35.48733732555555,0.6154305171298057,"A = 35.89 (sd=NA, n=1); B = 35.79 (sd=1.17, n=3); C = 34.78 (sd=NA, n=1)"
2021-01-25,B,N2,3,3,0,9,6,35.72197087666667,0.36797990983129086,"A = 35.89 (sd=NA, n=1); B = 35.97 (sd=NA, n=1); C = 35.3 (sd=NA, n=1)"
2021-01-25,C,N1,3,2,1,9,7,36.282337185,0.8882424715911488,"A = NA (sd=NA, n=0); B = 35.65 (sd=NA, n=1); C = 36.91 (sd=NA, n=1)"
2021-01-25,C,N2,3,2,1,9,7,36.356679920000005,1.0478016753802526,"A = NA (sd=NA, n=0); B = 35.62 (sd=NA, n=1); C = 37.1 (sd=NA, n=1)"
2021-01-27,A,N1,3,2,1,9,7,35.246648789999995,0.5918604390948279,"A = NA (sd=NA, n=0); B = 35.67 (sd=NA, n=1); C = 34.83 (sd=NA, n=1)"
2021-01-27,A,N2,3,2,1,9,6,36.067065240000005,0.776606595510961,"A = NA (sd=NA, n=0); B = 36.62 (sd=0.61, n=2); C = 35.52 (sd=NA, n=1)"
2021-01-27,B,N1,3,2,1,9,6,36.0307092675,0.5828551761424389,"A = 36.44 (sd=0.91, n=2); B = 35.62 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2021-01-27,B,N2,3,3,0,9,6,35.364871980000004,0.2295748131461046,"A = 35.62 (sd=NA, n=1); B = 35.16 (sd=NA, n=1); C = 35.31 (sd=NA, n=1)"
2021-01-27,C,N1,3,3,0,9,5,35.965530394999995,0.2522572031192586,"A = 35.98 (sd=NA, n=1); B = 36.21 (sd=0.66, n=2); C = 35.71 (sd=NA, n=1)"
2021-01-27,C,N2,3,1,2,9,8,35.55244446,NA,"A = 35.55 (sd=NA, n=1); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-02-01,A,N1,3,2,1,9,7,35.408441545,0.6689305032632868,"A = NA (sd=NA, n=0); B = 35.88 (sd=NA, n=1); C = 34.94 (sd=NA, n=1)"
2021-02-01,A,N2,3,0,3,9,9,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-02-01,B,N1,3,1,2,9,8,35.95700073,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = 35.96 (sd=NA, n=1)"
2021-02-01,B,N2,3,0,3,9,9,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-02-01,C,N1,3,2,1,9,6,36.574419975,0.6177945773154049,"A = 36.14 (sd=NA, n=1); B = NA (sd=NA, n=0); C = 37.01 (sd=0.06, n=2)"
2021-02-01,C,N2,3,2,1,9,6,36.3142375975,0.28687639957236516,"A = 36.52 (sd=0.77, n=2); B = 36.11 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2021-02-03,A,N1,3,1,2,9,7,35.54881668,NA,"A = NA (sd=NA, n=0); B = 35.55 (sd=0.51, n=2); C = NA (sd=NA, n=0)"
2021-02-03,A,N2,3,1,2,9,7,36.84011078,NA,"A = NA (sd=NA, n=0); B = 36.84 (sd=0.26, n=2); C = NA (sd=NA, n=0)"
2021-02-03,B,N1,3,2,1,9,7,36.524175645,0.7706332049108698,"A = 35.98 (sd=NA, n=1); B = NA (sd=NA, n=0); C = 37.07 (sd=NA, n=1)"
2021-02-03,B,N2,3,0,3,9,9,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-02-03,C,N1,3,3,0,9,4,36.47967402111111,0.5443781699308803,"A = 35.85 (sd=NA, n=1); B = 36.8 (sd=NA, n=1); C = 36.79 (sd=0.22, n=3)"
2021-02-03,C,N2,3,3,0,9,4,36.013792675,0.9224455168663223,"A = 35.67 (sd=0.56, n=2); B = 35.31 (sd=0.1, n=2); C = 37.06 (sd=NA, n=1)"
2021-02-08,A,N1,3,2,1,9,6,36.049485204999996,0.6604593215982608,"A = NA (sd=NA, n=0); B = 35.58 (sd=NA, n=1); C = 36.52 (sd=0.78, n=2)"
2021-02-08,A,N2,3,2,1,9,7,35.03401375,0.29188277568724114,"A = NA (sd=NA, n=0); B = 34.83 (sd=NA, n=1); C = 35.24 (sd=NA, n=1)"
2021-02-08,B,N1,3,2,1,9,7,36.5310688,0.4112264621646782,"A = 36.82 (sd=NA, n=1); B = 36.24 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2021-02-08,B,N2,3,1,2,9,8,35.3446579,NA,"A = NA (sd=NA, n=0); B = 35.34 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2021-02-08,C,N1,3,1,2,9,8,35.99350739,NA,"A = 35.99 (sd=NA, n=1); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-02-08,C,N2,3,0,3,9,9,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-02-10,A,N1,3,0,3,9,9,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2021-02-10,A,N2,3,1,2,9,8,37.09644318,NA,"A = NA (sd=NA, n=0); B = 37.1 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2021-02-10,B,N1,3,1,2,9,7,36.455785750000004,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = 36.46 (sd=0.75, n=2)"
