Parameter1,Parameter2,rho,CI,CI_low,CI_high,S,p,Method,n_Obs
copies_B,n_B,-0.20418157244897575,0.95,-0.40526503889126286,0.01574700025761558,123235.94212442817,1,Spearman correlation,85
copies_B,n_C,-0.24688495104505828,0.95,-0.44327926406525964,-0.027873791154289437,123154.82661472041,1,Spearman correlation,84
copies_B,copies_per_uL_N1,0.6500144444735018,0.95,0.5023790288739425,0.7608220905559153,35817.52175258183,1.2785102429892585e-7,Spearman correlation,85
copies_B,copies_per_uL_N2,0.7116365284410374,0.95,0.5816038162705067,0.806208280356767,27476.425024024193,3.7885857392657696e-10,Spearman correlation,83
copies_B,copies_N1,0.7891381138364353,0.95,0.6891328603112082,0.8596451230216143,21579.605429979212,2.5630350388773378e-15,Spearman correlation,85
copies_B,copies_N2,0.8316235234966284,0.95,0.7477222590379186,0.8893873260733268,16043.58418714726,1.9140376834086538e-18,Spearman correlation,83
copies_B,n.miss_N1,-0.4921409013219847,0.95,-0.6420901765626805,-0.3059228881877193,152705.6998412919,0.010133087973023562,Spearman correlation,85
copies_B,n.miss_N2,-0.4966555316016654,0.95,-0.6472000730508205,-0.30882675267298215,142607.3256731331,0.01053624722272765,Spearman correlation,83
copies_B,n_N1,-0.28279909662899266,0.95,-0.47271617221894635,-0.06777732350842804,131281.65954901112,1,Spearman correlation,85
copies_B,n_N2,-0.2701394056313056,0.95,-0.46417750232370375,-0.05136016694005736,121023.96312617332,1,Spearman correlation,83
copies_B,copies_Avg,0.880824067138125,0.95,0.8190167448903131,0.9224238502177419,11355.559586810896,4.579570318165626e-24,Spearman correlation,83
copies_B,copies_per_uL_A_N1,0.3711620316194961,0.95,0.1653961954666378,0.5459621594086055,64355.27768406077,1,Spearman correlation,85
copies_B,copies_per_uL_A_N2,0.5206634898007431,0.95,0.3378298656236617,0.6656317257267907,45673.100037826,0.0027724659300341877,Spearman correlation,83
copies_B,copies_per_uL_B_N1,0.689222065734221,0.95,0.5536517028779422,0.7892022033839262,31805.013792759826,2.423238739032783e-9,Spearman correlation,85
copies_B,copies_per_uL_B_N2,0.8058416319195267,0.95,0.7111195700793718,0.8718313369057135,18500.185944179815,3.493754419452457e-16,Spearman correlation,83
copies_B,copies_per_uL_C_N1,0.4665549550325601,0.95,0.2742426976420628,0.6229854907490996,52688.36709143405,0.043162201473439535,Spearman correlation,84
copies_B,copies_per_uL_C_N2,0.5097632826540133,0.95,0.32334455200285384,0.6580928712522165,45043.43982646661,0.005999798061969545,Spearman correlation,82
copies_B,copies_A_N1,0.5159276124462145,0.95,0.3345417653208543,0.6604518646563095,49539.9681422544,0.0026659077968872735,Spearman correlation,85
copies_B,copies_A_N2,0.6125871781377935,0.95,0.4521848846878996,0.7346064131513504,36914.243318318484,5.399643793884381e-6,Spearman correlation,83
copies_B,copies_B_N1,0.8413590260129247,0.95,0.7628375286848406,0.8954252654416882,16235.31727783729,6.141460309681026e-20,Spearman correlation,85
